Question,Options
What does SQL stand for?,"['Structure Query Language', 'Sequential Query Language', 'Systematic Query Language', 'Structured Question Language']"
Which SQL keyword is used to retrieve data from a database?,"['FETCH', 'EXTRACT', 'SELECT', 'RECOVER']"
What is the purpose of the WHERE clause in SQL?,"['To specify which columns to select', 'To specify which table to select from', 'To filter rows based on a specified condition', 'To order the results']"
Which SQL statement is used to update data in a database?,"['MODIFY', 'UPDATE', 'ALTER', 'CHANGE']"
"What does the SQL keyword ""GROUP BY"" do?","['Orders the result set in ascending order', 'Group rows that have the same values into summary rows', 'Filters rows based on a specified condition', 'Joins two or more tables']"
Which SQL operator is used to combine two or more conditions in a WHERE clause?,"['AND', 'OR', 'NOT', 'LIKE']"
"What does the SQL keyword ""ORDER BY"" do?","['Filters rows based on a specified condition', 'Group rows that have the same values into summary rows', 'Orders the result set based on specified columns', 'Joins two or more tables']"
Which SQL statement is used to delete data from a database?,"['TRUNCATE', 'DELETE', 'DROP', 'REMOVE']"
"What does the SQL keyword ""DISTINCT"" do?","['Filters duplicate rows from the result set', 'Orders the result set in ascending order', 'Group rows that have the same values into summary rows', 'Joins two or more tables']"
Which SQL statement is used to add a new column to an existing table?,"['MODIFY', 'INSERT', 'ALTER', 'ADD']"
