task_id,reminder_time,method
90,2025-12-02 15:09:33.693784,in_app
97,2025-11-28 02:55:42.863878,in_app
47,2025-11-18 15:03:23.595517,sms
78,2025-11-30 22:05:30.871726,sms
54,2025-11-16 10:28:06.665099,in_app
6,2025-12-08 16:18:38.211898,email
31,2025-12-01 17:08:58.643839,in_app
56,2025-12-11 06:42:47.897157,sms
6,2025-12-13 05:12:11.890594,sms
63,2025-12-01 22:17:48.575698,sms
54,2025-11-18 00:34:59.770193,email
1,2025-12-04 18:31:40.045285,sms
2,2025-12-02 11:46:15.541190,sms
83,2025-12-13 00:52:36.566898,in_app
18,2025-11-30 10:31:07.995268,in_app
29,2025-11-21 21:42:50.360166,email
47,2025-12-09 14:32:26.929178,in_app
38,2025-11-29 00:02:45.435335,email
63,2025-12-03 11:46:49.401999,in_app
15,2025-11-15 04:14:30.753542,email
4,2025-12-04 07:19:56.262040,email
60,2025-11-26 22:24:49.670468,email
26,2025-11-17 07:38:08.137099,in_app
46,2025-12-13 07:38:03.312650,sms
16,2025-11-22 13:55:24.271121,in_app
97,2025-11-21 03:22:19.724453,in_app
38,2025-12-07 16:35:46.013143,email
20,2025-11-23 18:40:30.729496,in_app
70,2025-11-30 19:11:27.977937,in_app
92,2025-11-30 10:06:26.849030,sms
13,2025-11-29 21:30:47.187852,in_app
73,2025-11-22 14:57:56.923026,sms
63,2025-11-18 04:16:27.968484,in_app
48,2025-11-30 15:26:43.757342,in_app
10,2025-11-22 21:54:39.622622,in_app
15,2025-12-12 17:08:26.644396,sms
83,2025-11-28 10:38:02.310809,email
90,2025-11-25 13:57:46.733390,email
81,2025-11-27 06:03:35.598241,email
84,2025-12-03 23:20:47.050059,email
62,2025-12-02 02:53:14.706371,email
78,2025-11-23 17:37:54.145316,sms
93,2025-11-17 10:27:52.014866,sms
45,2025-11-18 20:39:40.853392,sms
57,2025-11-29 00:39:43.174050,email
91,2025-11-28 13:24:12.409484,in_app
67,2025-12-07 04:33:13.683095,in_app
54,2025-12-05 21:28:58.764456,email
32,2025-11-19 04:27:07.213550,in_app
34,2025-11-23 05:50:26.150791,in_app
84,2025-11-17 07:18:18.880686,email
86,2025-11-26 22:07:24.130077,in_app
55,2025-11-17 20:35:45.476819,in_app
67,2025-12-01 16:25:36.641912,sms
35,2025-11-17 15:19:44.909225,email
59,2025-12-11 13:55:32.688303,email
8,2025-11-26 21:38:50.774456,sms
48,2025-11-25 08:49:18.119529,sms
63,2025-12-05 16:29:00.272995,sms
59,2025-11-15 23:47:42.423765,sms
68,2025-12-14 18:14:34.596801,sms
77,2025-12-07 18:00:40.089086,in_app
23,2025-11-27 05:31:31.595389,email
73,2025-11-22 10:27:34.562684,in_app
36,2025-12-01 00:24:53.483602,email
29,2025-12-12 06:27:22.909939,in_app
92,2025-11-15 22:14:00.109527,sms
99,2025-11-26 10:22:43.622911,email
11,2025-11-27 10:22:39.098612,sms
3,2025-12-08 09:14:32.735290,sms
12,2025-11-18 19:41:00.897219,sms
99,2025-12-04 12:02:50.683145,sms
32,2025-11-15 19:22:17.421670,in_app
84,2025-12-09 12:38:12.611040,in_app
60,2025-11-26 00:24:50.525037,email
98,2025-12-11 14:49:19.572594,in_app
52,2025-11-15 18:32:39.686389,email
45,2025-11-16 18:24:51.695575,sms
12,2025-11-30 05:15:09.243967,sms
4,2025-11-27 00:48:26.548703,email
94,2025-12-04 21:35:12.334756,email
77,2025-12-04 14:06:42.545488,in_app
52,2025-11-25 06:43:20.084456,email
85,2025-11-23 08:45:55.224189,in_app
89,2025-12-05 00:04:55.232194,in_app
51,2025-11-23 13:07:46.242967,in_app
41,2025-12-10 10:20:57.085791,email
11,2025-11-18 11:29:31.761634,email
84,2025-11-16 20:12:25.169804,sms
35,2025-12-03 10:20:56.102737,in_app
52,2025-11-21 23:16:09.143928,sms
18,2025-11-25 17:15:45.828663,in_app
76,2025-11-27 08:10:02.400827,email
50,2025-12-11 20:48:21.961074,sms
70,2025-12-06 12:31:43.461936,in_app
49,2025-11-22 07:40:43.767236,in_app
97,2025-12-04 06:56:00.366655,email
74,2025-12-07 00:30:53.323910,sms
54,2025-12-09 23:14:48.636663,in_app
30,2025-11-25 15:21:23.573977,email
