user_id,item_id,position_x,position_y,placed_at
1,11,49,14,2025-11-15 05:33:15.628669
2,27,4,27,2025-11-15 05:33:15.628779
4,45,32,0,2025-11-15 05:33:15.628851
4,64,48,11,2025-11-15 05:33:15.628917
4,64,12,1,2025-11-15 05:33:15.628920
5,93,18,42,2025-11-15 05:33:15.628983
6,35,27,38,2025-11-15 05:33:15.629059
7,27,46,37,2025-11-15 05:33:15.629117
7,86,25,37,2025-11-15 05:33:15.629173
9,2,43,28,2025-11-15 05:33:15.629231
9,56,22,6,2025-11-15 05:33:15.629289
11,13,2,23,2025-11-15 05:33:15.629347
11,14,4,11,2025-11-15 05:33:15.629417
11,79,42,43,2025-11-15 05:33:15.629479
13,33,0,0,2025-11-15 05:33:15.629536
14,23,35,12,2025-11-15 05:33:15.629594
15,86,13,18,2025-11-15 05:33:15.629652
19,44,6,24,2025-11-15 05:33:15.629710
20,43,6,0,2025-11-15 05:33:15.629768
22,64,5,11,2025-11-15 05:33:15.629824
23,77,14,25,2025-11-15 05:33:15.629880
25,18,45,29,2025-11-15 05:33:15.629936
28,26,44,6,2025-11-15 05:33:15.629992
28,59,34,32,2025-11-15 05:33:15.630048
28,99,9,24,2025-11-15 05:33:15.630103
30,48,25,14,2025-11-15 05:33:15.630159
30,91,48,1,2025-11-15 05:33:15.630215
31,52,37,50,2025-11-15 05:33:15.630283
32,83,50,44,2025-11-15 05:33:15.630367
33,17,39,46,2025-11-15 05:33:15.630435
34,23,16,48,2025-11-15 05:33:15.630502
34,45,0,27,2025-11-15 05:33:15.630557
34,47,36,1,2025-11-15 05:33:15.630612
37,27,33,5,2025-11-15 05:33:15.630668
37,69,44,1,2025-11-15 05:33:15.630723
38,23,18,18,2025-11-15 05:33:15.630777
38,94,15,10,2025-11-15 05:33:15.630832
39,2,17,9,2025-11-15 05:33:15.630886
39,63,17,21,2025-11-15 05:33:15.630941
40,63,17,36,2025-11-15 05:33:15.630997
41,99,20,29,2025-11-15 05:33:15.631053
42,39,14,3,2025-11-15 05:33:15.631109
43,39,23,33,2025-11-15 05:33:15.631165
44,8,5,15,2025-11-15 05:33:15.631221
45,25,28,12,2025-11-15 05:33:15.631275
45,56,2,46,2025-11-15 05:33:15.631330
45,84,0,19,2025-11-15 05:33:15.631384
46,25,41,40,2025-11-15 05:33:15.631451
46,100,49,42,2025-11-15 05:33:15.631525
47,10,41,29,2025-11-15 05:33:15.631594
47,32,15,36,2025-11-15 05:33:15.631664
47,78,44,39,2025-11-15 05:33:15.631720
48,72,9,46,2025-11-15 05:33:15.631776
50,43,2,47,2025-11-15 05:33:15.631834
50,95,47,11,2025-11-15 05:33:15.631889
51,13,36,32,2025-11-15 05:33:15.631956
52,82,25,32,2025-11-15 05:33:15.632010
54,43,36,26,2025-11-15 05:33:15.632064
54,60,26,34,2025-11-15 05:33:15.632118
55,35,2,41,2025-11-15 05:33:15.632184
56,68,39,28,2025-11-15 05:33:15.632239
57,70,6,20,2025-11-15 05:33:15.632293
58,10,22,19,2025-11-15 05:33:15.632346
59,59,46,37,2025-11-15 05:33:15.632399
60,73,10,43,2025-11-15 05:33:15.632453
60,90,32,11,2025-11-15 05:33:15.632509
61,16,40,20,2025-11-15 05:33:15.632563
61,64,22,12,2025-11-15 05:33:15.632618
64,91,5,4,2025-11-15 05:33:15.632672
65,78,41,29,2025-11-15 05:33:15.632727
66,93,7,32,2025-11-15 05:33:15.632782
66,97,20,15,2025-11-15 05:33:15.632838
67,30,10,1,2025-11-15 05:33:15.632893
68,15,44,19,2025-11-15 05:33:15.632947
68,54,36,4,2025-11-15 05:33:15.633002
69,10,25,27,2025-11-15 05:33:15.633057
70,98,21,7,2025-11-15 05:33:15.633127
71,13,23,14,2025-11-15 05:33:15.633502
73,69,45,19,2025-11-15 05:33:15.633593
73,79,35,7,2025-11-15 05:33:15.633660
74,52,42,48,2025-11-15 05:33:15.633720
79,66,36,19,2025-11-15 05:33:15.633777
86,54,47,42,2025-11-15 05:33:15.633833
87,59,23,47,2025-11-15 05:33:15.633889
88,19,45,4,2025-11-15 05:33:15.633944
89,15,46,14,2025-11-15 05:33:15.633999
89,22,22,42,2025-11-15 05:33:15.634054
90,13,38,43,2025-11-15 05:33:15.634109
90,95,38,21,2025-11-15 05:33:15.634189
91,45,42,41,2025-11-15 05:33:15.634257
91,59,35,3,2025-11-15 05:33:15.634313
92,66,13,8,2025-11-15 05:33:15.634368
93,25,38,0,2025-11-15 05:33:15.634423
93,42,44,8,2025-11-15 05:33:15.634481
94,27,41,49,2025-11-15 05:33:15.634535
94,78,22,31,2025-11-15 05:33:15.634589
95,56,41,50,2025-11-15 05:33:15.634642
96,22,37,18,2025-11-15 05:33:15.634696
96,26,21,27,2025-11-15 05:33:15.634763
99,60,44,32,2025-11-15 05:33:15.634816
