question_id,quiz_id,question_text,question_type,points
0,0,What does SQL stand for?,multiple_choice,1
1,0,Which SQL keyword is used to retrieve data from a database?,multiple_choice,1
2,0,What is the purpose of the WHERE clause in SQL?,multiple_choice,1
3,0,Which SQL statement is used to update data in a database?,multiple_choice,1
4,0,"What does the SQL keyword ""GROUP BY"" do?",multiple_choice,1
5,0,Which SQL operator is used to combine two or more conditions in a WHERE clause?,multiple_choice,1
6,0,"What does the SQL keyword ""ORDER BY"" do?",multiple_choice,1
7,0,Which SQL statement is used to delete data from a database?,multiple_choice,1
8,0,"What does the SQL keyword ""DISTINCT"" do?",multiple_choice,1
9,0,Which SQL statement is used to add a new column to an existing table?,multiple_choice,1
